time,time_local,temp,dwpt,rhum,prcp,snow,wdir,wspd,wpgt,pres,tsun,coco
2021-05-31 22:00:00,2021-06-01 00:00:00,10.9,6.8,76,0,,230,4,9.3,1021.1,0,3
2021-05-31 23:00:00,2021-06-01 01:00:00,10.4,7.8,84,0,,310,11,11.1,1021.2,0,3
2021-06-01 00:00:00,2021-06-01 02:00:00,9.7,7.6,87,0,0,330,11,13,1020.9,0,3
2021-06-01 01:00:00,2021-06-01 03:00:00,9.7,7.8,88,0,,330,11,13,1020.7,0,3
2021-06-01 02:00:00,2021-06-01 04:00:00,9.3,8.1,92,0,,330,11,14.8,1020.6,0,3
2021-06-01 03:00:00,2021-06-01 05:00:00,9.7,8.6,93,0,,330,14,14.8,1020.2,0,3
2021-06-01 04:00:00,2021-06-01 06:00:00,9.1,8.3,95,0,,330,14,16.7,1020.2,17,3
2021-06-01 05:00:00,2021-06-01 07:00:00,10.8,9.7,93,0,,330,11,16.7,1020.1,19,4
2021-06-01 06:00:00,2021-06-01 08:00:00,14,10.6,80,0,0,300,7,18.5,1020,24,4
2021-06-01 07:00:00,2021-06-01 09:00:00,16.3,10.8,70,0,,320,7,18.5,1019.8,60,4
2021-06-01 08:00:00,2021-06-01 10:00:00,18.9,11.7,63,0,,310,11,22.2,1019.3,60,4
2021-06-01 09:00:00,2021-06-01 11:00:00,20.1,9.6,51,0,,300,11,25.9,1018.8,60,4
2021-06-01 10:00:00,2021-06-01 12:00:00,21.9,8.4,42,0,,290,14,27.8,1018.1,60,4
2021-06-01 11:00:00,2021-06-01 13:00:00,22.9,8.2,39,0,,300,14,31.5,1017.6,60,4
2021-06-01 12:00:00,2021-06-01 14:00:00,22.6,7.9,39,0,0,310,18,29.6,1017.3,23,4
2021-06-01 13:00:00,2021-06-01 15:00:00,23,7.1,36,0,,290,18,31.5,1017,55,4
2021-06-01 14:00:00,2021-06-01 16:00:00,23.4,5.3,31,0,,340,18,31.5,1016.7,60,4
2021-06-01 15:00:00,2021-06-01 17:00:00,22.6,4.1,30,0,,340,14,31.5,1016.5,26,4
2021-06-01 16:00:00,2021-06-01 18:00:00,22.1,4.2,31,0,,350,14,33.3,1016,50,4
2021-06-01 17:00:00,2021-06-01 19:00:00,19.7,5.4,39,0,,360,18,33.3,1016.4,9,4
2021-06-01 18:00:00,2021-06-01 20:00:00,19.3,7.4,46,0,0,360,14,31.5,1016.5,0,3
2021-06-01 19:00:00,2021-06-01 21:00:00,17.7,10.3,62,0,,60,22,29.6,1016.9,0,4
2021-06-01 20:00:00,2021-06-01 22:00:00,16.3,7.8,57,0,,60,18,29.6,1017.6,0,4
2021-06-01 21:00:00,2021-06-01 23:00:00,15.7,6.4,54,0,,50,22,27.8,1017.9,0,7
2021-06-01 22:00:00,2021-06-02 00:00:00,14.9,6.2,56,0,,50,11,31.5,1018.2,0,4
2021-06-01 23:00:00,2021-06-02 01:00:00,14.5,6.6,59,0,,70,18,27.8,1017.8,0,4
2021-06-02 00:00:00,2021-06-02 02:00:00,14,6.6,61,0,0,60,11,24.1,1018,0,4
2021-06-02 01:00:00,2021-06-02 03:00:00,13,7,67,0,,60,14,22.2,1018,0,4
2021-06-02 02:00:00,2021-06-02 04:00:00,12.5,7.8,73,0,,50,14,22.2,1018.3,0,3
2021-06-02 03:00:00,2021-06-02 05:00:00,11.8,7.9,77,0,,70,14,20.4,1018.5,0,3
2021-06-02 04:00:00,2021-06-02 06:00:00,11.3,9,86,0,,60,18,24.1,1018.9,0,3
2021-06-02 05:00:00,2021-06-02 07:00:00,11.8,9.7,87,0,,80,14,22.2,1019,0,3
2021-06-02 06:00:00,2021-06-02 08:00:00,12.9,10.3,84,0,0,70,14,22.2,1019.2,16,3
2021-06-02 07:00:00,2021-06-02 09:00:00,14.7,10.7,77,0,,50,7,20.4,1019.6,54,3
2021-06-02 08:00:00,2021-06-02 10:00:00,17.8,12.5,71,0,,90,11,20.4,1019.3,60,2
2021-06-02 09:00:00,2021-06-02 11:00:00,19.2,12,63,0,,100,7,22.2,1019.3,60,1
2021-06-02 10:00:00,2021-06-02 12:00:00,21.4,12.5,57,0,,120,11,25.9,1019.2,60,1
2021-06-02 11:00:00,2021-06-02 13:00:00,23.3,10.4,44,0,,160,7,25.9,1019.4,60,2
2021-06-02 12:00:00,2021-06-02 14:00:00,22.7,9.1,42,0,0,160,11,29.6,1019.2,48,3
2021-06-02 13:00:00,2021-06-02 15:00:00,21.7,8.6,43,0,,80,14,31.5,1019.3,13,3
2021-06-02 14:00:00,2021-06-02 16:00:00,23.2,9.9,43,0,,120,11,31.5,1019.2,23,3
2021-06-02 15:00:00,2021-06-02 17:00:00,24.6,8.1,35,0,,120,11,31.5,1019.1,60,3
2021-06-02 16:00:00,2021-06-02 18:00:00,24.2,7.8,35,0,,130,11,31.5,1019.1,52,3
2021-06-02 17:00:00,2021-06-02 19:00:00,23.9,7.5,35,0,,130,14,33.3,1019.1,47,2
2021-06-02 18:00:00,2021-06-02 20:00:00,22.3,8.4,41,0,0,150,14,33.3,1019.8,57,2
2021-06-02 19:00:00,2021-06-02 21:00:00,20.5,7.5,43,0,,120,14,29.6,1020.4,60,1
2021-06-02 20:00:00,2021-06-02 22:00:00,17.5,7.2,51,0,,110,11,27.8,1021.1,2,1
2021-06-02 21:00:00,2021-06-02 23:00:00,15.6,8.1,61,0,,100,11,27.8,1021.5,0,1
2021-06-02 22:00:00,2021-06-03 00:00:00,14.3,8,66,0,,100,11,25.9,1022,0,1
2021-06-02 23:00:00,2021-06-03 01:00:00,14,9,72,0,,110,11,25.9,1022.3,0,1
2021-06-03 00:00:00,2021-06-03 02:00:00,13.5,9.2,75,0,0,120,14,25.9,1022.4,0,1
2021-06-03 01:00:00,2021-06-03 03:00:00,13.1,9,76,0,,110,18,25.9,1022.4,0,1
2021-06-03 02:00:00,2021-06-03 04:00:00,12.4,8.5,77,0,,120,14,25.9,1022.8,0,1
2021-06-03 03:00:00,2021-06-03 05:00:00,11.7,7.8,77,0,,100,14,25.9,1022.8,0,2
2021-06-03 04:00:00,2021-06-03 06:00:00,12,8.3,78,0,,100,14,24.1,1023,33,2
2021-06-03 05:00:00,2021-06-03 07:00:00,13.5,7.9,69,0,,100,14,25.9,1023.1,60,3
2021-06-03 06:00:00,2021-06-03 08:00:00,16.1,8.6,61,0,0,120,14,25.9,1023.3,60,2
2021-06-03 07:00:00,2021-06-03 09:00:00,18.4,8.4,52,0,,120,14,27.8,1023.7,60,2
2021-06-03 08:00:00,2021-06-03 10:00:00,21.4,9,45,0,,110,14,29.6,1023.6,60,2
2021-06-03 09:00:00,2021-06-03 11:00:00,23,8.3,39,0,,130,22,31.5,1023.3,60,1
2021-06-03 10:00:00,2021-06-03 12:00:00,24.2,9,38,0,,130,18,37,1023.2,60,1
2021-06-03 11:00:00,2021-06-03 13:00:00,25.2,8.7,35,0,,100,18,37,1022.9,60,1
2021-06-03 12:00:00,2021-06-03 14:00:00,26,8.9,34,0,0,90,14,35.2,1022.6,60,2
2021-06-03 13:00:00,2021-06-03 15:00:00,26.1,9,34,0,,130,11,35.2,1022.3,60,2
2021-06-03 14:00:00,2021-06-03 16:00:00,26.8,8.7,32,0,,90,14,33.3,1021.8,60,3
2021-06-03 15:00:00,2021-06-03 17:00:00,27,8.9,32,0,,130,11,33.3,1021.5,60,3
2021-06-03 16:00:00,2021-06-03 18:00:00,26.6,8.1,31,0,,130,11,29.6,1021.2,60,3
2021-06-03 17:00:00,2021-06-03 19:00:00,25.8,7.9,32,0,,140,11,31.5,1021,60,3
2021-06-03 18:00:00,2021-06-03 20:00:00,24.6,8.1,35,0,0,120,11,29.6,1021.4,60,2
2021-06-03 19:00:00,2021-06-03 21:00:00,22.5,7.5,38,0,,90,14,29.6,1021.6,10,3
2021-06-03 20:00:00,2021-06-03 22:00:00,20.4,7.4,43,0,,100,14,27.8,1022,0,2
2021-06-03 21:00:00,2021-06-03 23:00:00,19.6,7.7,46,0,,110,11,27.8,1022.1,0,3
2021-06-03 22:00:00,2021-06-04 00:00:00,18.7,7.8,49,0,,120,18,27.8,1022.3,0,4
2021-06-03 23:00:00,2021-06-04 01:00:00,18.7,8.1,50,0,,120,18,25.9,1022.4,0,4
2021-06-04 00:00:00,2021-06-04 02:00:00,17.7,8,53,0,0,130,14,25.9,1022.2,0,4
2021-06-04 01:00:00,2021-06-04 03:00:00,17.2,8.1,55,0,,120,14,25.9,1022,0,4
2021-06-04 02:00:00,2021-06-04 04:00:00,16.9,8.6,58,0,,130,14,25.9,1022,0,4
2021-06-04 03:00:00,2021-06-04 05:00:00,16.7,8.4,58,0,,110,14,24.1,1021.9,0,4
2021-06-04 04:00:00,2021-06-04 06:00:00,17,8.7,58,0,,130,14,25.9,1021.8,0,4
2021-06-04 05:00:00,2021-06-04 07:00:00,15.8,9.9,68,0,,130,14,25.9,1021.8,0,4
2021-06-04 06:00:00,2021-06-04 08:00:00,14.3,12.7,90,0.6,0,110,11,25.9,1021.7,0,7
2021-06-04 07:00:00,2021-06-04 09:00:00,15.9,13.9,88,0,,90,14,25.9,1022,0,4
2021-06-04 08:00:00,2021-06-04 10:00:00,16.9,12.6,76,0,,100,14,25.9,1022,0,4
2021-06-04 09:00:00,2021-06-04 11:00:00,17.7,13,74,0,,120,18,27.8,1022,0,4
2021-06-04 10:00:00,2021-06-04 12:00:00,18.5,12.5,68,0,,120,11,29.6,1022.1,0,4
2021-06-04 11:00:00,2021-06-04 13:00:00,20.2,12.7,62,0,,120,18,29.6,1021.9,0,4
2021-06-04 12:00:00,2021-06-04 14:00:00,21,11.9,56,0,0,110,14,29.6,1021.7,0,4
2021-06-04 13:00:00,2021-06-04 15:00:00,23,12.9,53,0,,110,14,29.6,1021.1,43,3
2021-06-04 14:00:00,2021-06-04 16:00:00,23.2,12.8,52,0,,90,14,27.8,1020.9,35,2
2021-06-04 15:00:00,2021-06-04 17:00:00,23.4,12.7,51,0,,80,14,27.8,1020.4,60,1
2021-06-04 16:00:00,2021-06-04 18:00:00,23.5,12.8,51,0,,130,11,27.8,1020.2,60,1
2021-06-04 17:00:00,2021-06-04 19:00:00,23.1,13,53,0,,110,14,29.6,1020.1,60,2
2021-06-04 18:00:00,2021-06-04 20:00:00,22.2,13.3,57,0,0,90,11,27.8,1020.2,60,1
2021-06-04 19:00:00,2021-06-04 21:00:00,20.5,13,62,0,,70,14,25.9,1020.3,58,2
2021-06-04 20:00:00,2021-06-04 22:00:00,18.8,12.8,68,0,,80,18,24.1,1020.6,0,2
2021-06-04 21:00:00,2021-06-04 23:00:00,17.4,12.3,72,0,,80,11,22.2,1020.6,0,1
2021-06-04 22:00:00,2021-06-05 00:00:00,16.5,12.7,78,0,,90,11,20.4,1020.5,0,1
2021-06-04 23:00:00,2021-06-05 01:00:00,15.6,12.7,83,0,,70,11,20.4,1020.5,0,3
2021-06-05 00:00:00,2021-06-05 02:00:00,15.4,12.5,83,0,0,90,14,20.4,1020.2,0,2
2021-06-05 01:00:00,2021-06-05 03:00:00,14.6,11.9,84,0,,90,11,20.4,1020.3,0,2
2021-06-05 02:00:00,2021-06-05 04:00:00,13.7,11.6,87,0,,80,11,18.5,1020.1,0,2
2021-06-05 03:00:00,2021-06-05 05:00:00,13.5,11.9,90,0,,80,11,18.5,1019.9,0,2
2021-06-05 04:00:00,2021-06-05 06:00:00,13.6,12,90,0,,90,11,20.4,1019.9,18,3
2021-06-05 05:00:00,2021-06-05 07:00:00,15.2,12.1,82,0,,90,11,20.4,1019.8,59,3
2021-06-05 06:00:00,2021-06-05 08:00:00,17,12.5,75,0,0,100,7,20.4,1019.9,60,3
2021-06-05 07:00:00,2021-06-05 09:00:00,20.3,12.3,60,0,,100,14,20.4,1019.9,60,3
2021-06-05 08:00:00,2021-06-05 10:00:00,22.4,11.8,51,0,,100,14,22.2,1019.7,60,3
2021-06-05 09:00:00,2021-06-05 11:00:00,24.2,12.5,48,0,,110,7,22.2,1019.4,60,3
2021-06-05 10:00:00,2021-06-05 12:00:00,25.3,12.9,46,0,,80,11,25.9,1019.2,60,3
2021-06-05 11:00:00,2021-06-05 13:00:00,25.6,12.1,43,0,,110,11,27.8,1018.8,60,2
2021-06-05 12:00:00,2021-06-05 14:00:00,26.8,12.8,42,0,0,70,14,27.8,1018.4,60,2
2021-06-05 13:00:00,2021-06-05 15:00:00,25.7,12.2,43,0,,90,14,29.6,1018,58,2
2021-06-05 14:00:00,2021-06-05 16:00:00,26.8,11.7,39,0,,100,11,29.6,1017.4,60,2
2021-06-05 15:00:00,2021-06-05 17:00:00,27.4,11.4,37,0,,60,14,29.6,1017.1,60,2
2021-06-05 16:00:00,2021-06-05 18:00:00,27.2,11.2,37,0,,60,14,31.5,1017.1,60,3
2021-06-05 17:00:00,2021-06-05 19:00:00,26,10.6,38,0,,80,11,29.6,1017.3,60,3
2021-06-05 18:00:00,2021-06-05 20:00:00,24.4,10.7,42,0,0,70,14,27.8,1017.3,0,4
2021-06-05 19:00:00,2021-06-05 21:00:00,22.9,10,44,0,,80,11,25.9,1017.6,0,4
2021-06-05 20:00:00,2021-06-05 22:00:00,20.8,9.7,49,0,,80,14,25.9,1018.1,0,4
2021-06-05 21:00:00,2021-06-05 23:00:00,20.4,10.5,53,0,,70,14,24.1,1018.4,0,3
2021-06-05 22:00:00,2021-06-06 00:00:00,19.2,10.2,56,0,,70,11,24.1,1018.8,0,3
2021-06-05 23:00:00,2021-06-06 01:00:00,18.2,11.3,64,0,,80,7,22.2,1019,0,3
2021-06-06 00:00:00,2021-06-06 02:00:00,16.8,11.3,70,0,0,70,11,22.2,1019,0,3
2021-06-06 01:00:00,2021-06-06 03:00:00,15.9,11.1,73,0,,70,11,20.4,1019,0,2
2021-06-06 02:00:00,2021-06-06 04:00:00,15,11.6,80,0,,80,11,18.5,1019,0,2
2021-06-06 03:00:00,2021-06-06 05:00:00,14.1,11.8,86,0,,120,11,18.5,1019.1,0,2
2021-06-06 04:00:00,2021-06-06 06:00:00,13.6,12,90,0,,130,7,16.7,1019.3,28,2
2021-06-06 05:00:00,2021-06-06 07:00:00,15.3,12.6,84,0,,120,7,16.7,1019.2,60,1
2021-06-06 06:00:00,2021-06-06 08:00:00,18.1,13.8,76,0,0,130,7,16.7,1019.3,60,3
2021-06-06 07:00:00,2021-06-06 09:00:00,21.1,15.2,69,0,,140,4,16.7,1019.4,60,3
2021-06-06 08:00:00,2021-06-06 10:00:00,22.5,15.6,65,0,,200,7,16.7,1019.4,60,3
2021-06-06 09:00:00,2021-06-06 11:00:00,25.2,14.3,51,0,,200,7,16.7,1019.2,60,3
2021-06-06 10:00:00,2021-06-06 12:00:00,25.7,10.3,38,0,,180,7,20.4,1019.1,52,3
2021-06-06 11:00:00,2021-06-06 13:00:00,27,10.2,35,0,,100,7,20.4,1019,51,3
2021-06-06 12:00:00,2021-06-06 14:00:00,26.9,10.1,35,0,0,120,7,20.4,1018.8,35,3
2021-06-06 13:00:00,2021-06-06 15:00:00,27.4,10.2,34,0,,120,7,20.4,1018.5,59,3
2021-06-06 14:00:00,2021-06-06 16:00:00,28,10.2,33,0,,60,4,20.4,1018.3,31,3
2021-06-06 15:00:00,2021-06-06 17:00:00,27.9,10.6,34,0,,350,4,22.2,1018.1,51,3
2021-06-06 16:00:00,2021-06-06 18:00:00,26.9,10.1,35,0,,10,7,20.4,1017.8,47,3
2021-06-06 17:00:00,2021-06-06 19:00:00,25.4,10.4,39,0,,350,11,20.4,1017.9,2,4
2021-06-06 18:00:00,2021-06-06 20:00:00,22.5,13.8,58,0,0,290,14,22.2,1018.5,0,3
2021-06-06 19:00:00,2021-06-06 21:00:00,21.6,15.7,69,0,,320,14,22.2,1019,0,3
2021-06-06 20:00:00,2021-06-06 22:00:00,22.2,11.3,50,0,,10,14,24.1,1019.6,0,3
2021-06-06 21:00:00,2021-06-06 23:00:00,20.1,12.6,62,0,,360,7,22.2,1020,0,3
2021-06-06 22:00:00,2021-06-07 00:00:00,19.4,10.1,55,0,,10,11,18.5,1020.1,0,3
2021-06-06 23:00:00,2021-06-07 01:00:00,17.6,9.5,59,0,,30,7,18.5,1020.5,0,3
2021-06-07 00:00:00,2021-06-07 02:00:00,16.5,9.7,64,0,0,20,7,18.5,1020.5,0,3
2021-06-07 01:00:00,2021-06-07 03:00:00,15.7,8.2,61,0,,20,11,18.5,1020.5,0,2
2021-06-07 02:00:00,2021-06-07 04:00:00,15.4,7.9,61,0,,20,11,18.5,1020.5,0,3
2021-06-07 03:00:00,2021-06-07 05:00:00,14.4,8.3,67,0,,20,11,18.5,1020.5,0,2
2021-06-07 04:00:00,2021-06-07 06:00:00,13.6,8.6,72,0,,20,7,18.5,1020.7,29,1
2021-06-07 05:00:00,2021-06-07 07:00:00,15.1,9.7,70,0,,350,7,18.5,1020.9,60,1
2021-06-07 06:00:00,2021-06-07 08:00:00,16.6,9.5,63,0,0,340,7,18.5,1021.1,60,1
2021-06-07 07:00:00,2021-06-07 09:00:00,18.7,7.8,49,0,,330,7,18.5,1021.2,60,1
2021-06-07 08:00:00,2021-06-07 10:00:00,20.1,7.5,44,0,,350,11,20.4,1021.2,60,1
2021-06-07 09:00:00,2021-06-07 11:00:00,21.6,7.8,41,0,,350,7,24.1,1021.1,60,1
2021-06-07 10:00:00,2021-06-07 12:00:00,23.2,8.1,38,0,,300,7,25.9,1021,60,1
2021-06-07 11:00:00,2021-06-07 13:00:00,24.2,7.8,35,0,,350,7,27.8,1020.8,60,1
2021-06-07 12:00:00,2021-06-07 14:00:00,24.9,7.5,33,0,0,340,7,25.9,1020.4,60,1
2021-06-07 13:00:00,2021-06-07 15:00:00,25.5,7.6,32,0,,310,14,27.8,1020,60,1
2021-06-07 14:00:00,2021-06-07 16:00:00,26.1,7.7,31,0,,310,14,27.8,1019.7,60,1
2021-06-07 15:00:00,2021-06-07 17:00:00,26.3,7.3,30,0,,360,7,27.8,1019.3,60,1
2021-06-07 16:00:00,2021-06-07 18:00:00,26.1,6.7,29,0,,320,11,27.8,1019,60,1
2021-06-07 17:00:00,2021-06-07 19:00:00,25.8,6.9,30,0,,340,14,29.6,1018.8,60,1
2021-06-07 18:00:00,2021-06-07 20:00:00,25,6.7,31,0,0,330,11,27.8,1018.9,60,1
